product_id,product_name,brand,price,original_price,discount_percentage,discount_amount,rating,ratings_count,reviews_count,display_size,display_type,screen_resolution,battery_life,battery_capacity,water_resistance,bluetooth_version,compatibility,heart_rate_monitor,blood_oxygen_monitor,sleep_tracker,sports_modes,gps,bluetooth_calling,strap_material,strap_color,weight,warranty,availability,scraped_at,touch_screen,charging_time,stress_monitor,step_counter,calorie_tracker,nfc_payments,music_control,camera_control,voice_assistant,notifications,reminders,case_material,dimensions,in_the_box,launch_date,source
SW10058,boAt Call Lite Bluetooth Calling,boAt,2147,3859,44,1712,4.6,20458,9065,"1.4""",LCD,371x372 pixels,11 days,358 mAh,3ATM,5.0,Android,No,No,Yes,74,No,Yes,Silicone,Blue,54 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber,50x38x10 mm,"Smartwatch, Charging Cable, User Manual",3/2023,Flipkart
SW10059,Ambrane Curve Max Stress Monitoring,Ambrane,3630,4999,27,1369,3.8,19110,8656,"1.3""",TFT,424x330 pixels,9 days,222 mAh,IP68,5.0,iOS,No,No,Yes,62,No,No,Silicone,Blue,50 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Plastic,41x38x11 mm,"Smartwatch, Charging Cable, User Manual",12/2022,Flipkart
SW10060,Huami Amazfit GTS SpO2 Monitor,Huami,5730,7755,26,2025,3.9,39545,10141,"1.3""",LCD,415x377 pixels,21 days,311 mAh,5ATM,5.0,Android & iOS,No,Yes,Yes,77,No,Yes,Silicone,Pink,58 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Plastic,50x39x10 mm,"Smartwatch, Charging Cable, User Manual",9/2024,Flipkart
SW10061,Sonata Essence GPS Navigation,Sonata,1407,1814,22,407,3.9,29179,4529,"1.3""",LCD,327x414 pixels,19 days,525 mAh,IP67,5.0,Android,No,Yes,Yes,51,No,Yes,Nylon,Silver,36 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Plastic,40x42x13 mm,"Smartwatch, Charging Cable, User Manual",2/2023,Flipkart
SW10062,boAt Flash 4 Sports Modes,boAt,2117,2903,27,786,4.7,46524,2155,"1.3""",LCD,441x370 pixels,9 days,208 mAh,Water Resistant,5.0,iOS,Yes,Yes,Yes,50,No,No,Silicone,Brown,57 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Metal,43x43x12 mm,"Smartwatch, Charging Cable, User Manual",2/2022,Flipkart
SW10063,Huami Amazfit Bip GPS Navigation,Huami,5826,8853,34,3027,4.7,20819,17397,"1.2""",TFT,344x427 pixels,19 days,419 mAh,IP68,5.0,Android & iOS,Yes,No,Yes,82,No,Yes,Silicone,Gold,71 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Plastic,41x35x10 mm,"Smartwatch, Charging Cable, User Manual",6/2024,Flipkart
SW10064,Boult Bolt Ultra Water Resistance,Boult,4892,6460,24,1568,4.8,34314,8991,"1.3""",LCD,449x391 pixels,15 days,350 mAh,3ATM,5.0,Android & iOS,Yes,Yes,Yes,60,No,Yes,Silicone,Silver,38 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber,44x37x12 mm,"Smartwatch, Charging Cable, User Manual",7/2024,Flipkart
SW10065,Titan Smart Ultra Camera Control,Titan,6625,11087,40,4462,4.4,42629,5029,"1.2""",LCD,445x425 pixels,11 days,262 mAh,IP68,5.0,Android,No,Yes,Yes,70,No,Yes,Leather,Pink,45 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Plastic,49x37x15 mm,"Smartwatch, Charging Cable, User Manual",5/2022,Flipkart
SW10066,Samsung Galaxy Fit Pro Heart Rate Monitor,Samsung,9774,12568,22,2794,4.6,25605,15226,"1.6""",OLED,445x413 pixels,12 days,274 mAh,IP67,5.2,iOS,Yes,Yes,Yes,85,No,Yes,Leather,Black,78 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber,47x40x15 mm,"Smartwatch, Charging Cable, User Manual",4/2022,Flipkart
SW10067,CrossBeats Ignite Pro SpO2 Monitor,CrossBeats,6903,8124,15,1221,4.0,2272,14454,"1.3""",LCD,409x391 pixels,8 days,401 mAh,Water Resistant,5.0,iOS,No,No,Yes,67,No,Yes,Polycarbonate,Silver,64 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber,40x43x10 mm,"Smartwatch, Charging Cable, User Manual",6/2022,Flipkart
SW10068,Sonata Essence Max Bluetooth Calling,Sonata,2460,3891,36,1431,4.6,48209,9884,"1.3""",TFT,432x331 pixels,19 days,397 mAh,5ATM,5.0,iOS,Yes,Yes,Yes,78,No,No,Polycarbonate,Blue,49 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Metal,47x36x12 mm,"Smartwatch, Charging Cable, User Manual",9/2023,Flipkart
SW10069,Fire-Boltt Armor 2 Sports Modes,Fire-Boltt,4827,7846,38,3019,4.5,24823,18647,"1.4""",LCD,325x413 pixels,15 days,480 mAh,3ATM,5.0,Android,No,No,Yes,94,No,No,Metal,Red,32 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber,41x44x14 mm,"Smartwatch, Charging Cable, User Manual",7/2022,Flipkart
SW10070,OnePlus Band Ultra GPS Navigation,OnePlus,11068,14268,22,3200,4.1,30238,19599,"1.6""",AMOLED,364x428 pixels,14 days,453 mAh,IP68,5.2,Android & iOS,Yes,No,Yes,80,Yes,Yes,Metal,Pink,47 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber,45x39x14 mm,"Smartwatch, Charging Cable, User Manual",7/2022,Flipkart
SW10071,Fastrack Reflex 4 Bluetooth Calling,Fastrack,3806,6155,38,2349,3.8,4662,17680,"1.2""",TFT,427x343 pixels,9 days,564 mAh,5ATM,5.0,iOS,No,Yes,Yes,94,No,Yes,Nylon,Black,38 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber,47x42x13 mm,"Smartwatch, Charging Cable, User Manual",1/2024,Flipkart
SW10072,Samsung Gear Sport Plus Bluetooth Calling,Samsung,25704,32237,20,6533,4.5,42092,1831,"2.2""",AMOLED,375x425 pixels,6 days,270 mAh,Water Resistant,5.3,iOS,Yes,Yes,Yes,109,Yes,Yes,TPU,Pink,70 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Metal,46x39x13 mm,"Smartwatch, Charging Cable, User Manual",12/2023,Flipkart
SW10073,Fitbit Charge Lite Music Control,Fitbit,16128,22836,29,6708,4.1,46464,14120,"1.8""",OLED,449x362 pixels,11 days,346 mAh,IP67,5.2,Android & iOS,Yes,Yes,Yes,87,Yes,No,TPU,Red,33 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber,45x37x15 mm,"Smartwatch, Charging Cable, User Manual",12/2023,Flipkart
SW10074,Fire-Boltt Armor Pro Sleep Tracking,Fire-Boltt,6030,10346,41,4316,4.1,9755,10518,"1.4""",LCD,388x372 pixels,9 days,241 mAh,IP68,5.0,Android & iOS,Yes,Yes,Yes,100,No,No,Polycarbonate,Green,50 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Metal,40x44x10 mm,"Smartwatch, Charging Cable, User Manual",1/2022,Flipkart
SW10075,Fitbit Charge Max Weather Display,Fitbit,14518,19455,25,4937,4.3,33754,5807,"1.8""",AMOLED,445x373 pixels,7 days,505 mAh,Water Resistant,5.2,Android,Yes,No,Yes,108,No,No,Silicone,Pink,74 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber,45x43x10 mm,"Smartwatch, Charging Cable, User Manual",12/2022,Flipkart
SW10076,OnePlus Watch 4 Stress Monitoring,OnePlus,12582,16045,21,3463,4.8,47599,18715,"1.8""",OLED,364x385 pixels,7 days,544 mAh,IP67,5.2,iOS,Yes,Yes,Yes,108,Yes,No,Leather,Brown,70 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Plastic,40x39x15 mm,"Smartwatch, Charging Cable, User Manual",4/2023,Flipkart
SW10077,boAt Call 2 Bluetooth Calling,boAt,3322,3975,16,653,4.5,27902,5839,"1.2""",LCD,406x366 pixels,21 days,239 mAh,IP68,5.0,Android & iOS,No,Yes,Yes,64,No,Yes,Leather,Pink,48 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber,43x41x13 mm,"Smartwatch, Charging Cable, User Manual",2/2023,Flipkart
SW10078,Titan Juxt Lite Water Resistance,Titan,5269,6923,23,1654,4.2,26338,3410,"1.4""",TFT,369x375 pixels,20 days,423 mAh,IP67,5.0,Android,Yes,Yes,Yes,60,No,Yes,Silicone,Pink,65 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Plastic,44x39x13 mm,"Smartwatch, Charging Cable, User Manual",5/2022,Flipkart
SW10079,Garmin Venu Notification Alerts,Garmin,23066,37144,37,14078,4.2,33579,7306,"1.8""",AMOLED,325x325 pixels,7 days,445 mAh,3ATM,5.3,Android,Yes,Yes,Yes,112,Yes,Yes,Metal,Pink,39 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Metal,42x39x14 mm,"Smartwatch, Charging Cable, User Manual",11/2023,Flipkart
SW10080,Fitbit Versa 3 Sports Modes,Fitbit,21665,28724,24,7059,4.4,42902,2404,"1.8""",AMOLED,401x417 pixels,5 days,550 mAh,Water Resistant,5.3,iOS,Yes,Yes,Yes,101,Yes,Yes,Silicone,Gold,64 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Plastic,50x35x14 mm,"Smartwatch, Charging Cable, User Manual",7/2022,Flipkart
SW10081,Fastrack Revolt Ultra Heart Rate Monitor,Fastrack,2097,3442,39,1345,4.0,6426,8978,"1.4""",LCD,329x360 pixels,11 days,275 mAh,IP67,5.0,Android,Yes,Yes,Yes,93,No,No,TPU,Pink,74 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Plastic,49x39x11 mm,"Smartwatch, Charging Cable, User Manual",3/2022,Flipkart
SW10082,OnePlus Band Ultra Heart Rate Monitor,OnePlus,9792,16026,38,6234,4.4,6890,16171,"1.6""",AMOLED,345x390 pixels,14 days,243 mAh,3ATM,5.2,Android,Yes,No,Yes,88,Yes,No,Nylon,Brown,69 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber,43x44x12 mm,"Smartwatch, Charging Cable, User Manual",1/2022,Flipkart
SW10083,CrossBeats Elevate 4 SpO2 Monitor,CrossBeats,5925,6938,14,1013,4.8,45812,1898,"1.3""",TFT,412x433 pixels,16 days,243 mAh,IP68,5.0,Android & iOS,No,Yes,Yes,65,No,Yes,TPU,Pink,33 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Metal,46x44x11 mm,"Smartwatch, Charging Cable, User Manual",12/2024,Flipkart
SW10084,OnePlus Watch Lite Notification Alerts,OnePlus,10273,12229,15,1956,4.6,22862,10826,"1.8""",AMOLED,423x406 pixels,12 days,582 mAh,5ATM,5.2,Android & iOS,Yes,Yes,Yes,117,No,Yes,Polycarbonate,Gold,50 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Metal,46x43x13 mm,"Smartwatch, Charging Cable, User Manual",6/2022,Flipkart
SW10085,Huami Amazfit GTS 3 GPS Navigation,Huami,3289,5175,36,1886,4.6,22792,3023,"1.3""",LCD,403x447 pixels,13 days,322 mAh,Water Resistant,5.0,iOS,No,No,Yes,56,No,No,Metal,Brown,74 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Plastic,48x35x12 mm,"Smartwatch, Charging Cable, User Manual",8/2024,Flipkart
SW10086,Amazfit GTS 3 AMOLED Display,Amazfit,7821,13964,43,6143,4.5,39756,2985,"1.2""",TFT,333x374 pixels,10 days,323 mAh,5ATM,5.0,Android & iOS,No,No,Yes,76,No,No,Silicone,Blue,71 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Plastic,46x45x14 mm,"Smartwatch, Charging Cable, User Manual",12/2024,Flipkart
SW10087,Boult Bolt Lite Sleep Tracking,Boult,1686,2012,16,326,4.0,16324,13400,"1.3""",TFT,328x380 pixels,12 days,265 mAh,IP68,5.0,iOS,No,Yes,Yes,69,No,No,Silicone,Blue,77 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Metal,49x45x12 mm,"Smartwatch, Charging Cable, User Manual",12/2022,Flipkart
SW10088,Sonata Smart Plus Voice Assistant,Sonata,1227,1552,20,325,4.4,12492,6914,"1.2""",LCD,382x424 pixels,9 days,411 mAh,5ATM,5.0,Android & iOS,No,Yes,Yes,86,No,Yes,Silicone,Red,52 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Metal,48x38x12 mm,"Smartwatch, Charging Cable, User Manual",3/2022,Flipkart
SW10089,Fastrack Reflex 2 AMOLED Display,Fastrack,3291,5525,40,2234,3.9,47795,17083,"1.2""",TFT,352x398 pixels,13 days,557 mAh,3ATM,5.0,iOS,No,Yes,Yes,64,No,No,Silicone,Red,67 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Plastic,44x41x11 mm,"Smartwatch, Charging Cable, User Manual",11/2023,Flipkart
SW10090,Fastrack Reflex GPS Navigation,Fastrack,2274,3499,35,1225,4.6,23819,9097,"1.4""",LCD,346x359 pixels,11 days,539 mAh,Water Resistant,5.0,Android & iOS,Yes,Yes,Yes,65,No,No,Metal,Silver,63 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Plastic,42x41x11 mm,"Smartwatch, Charging Cable, User Manual",10/2024,Flipkart
SW10091,Amazfit GTR Lite Notification Alerts,Amazfit,5331,8840,39,3509,4.3,26450,1337,"1.2""",LCD,343x436 pixels,16 days,545 mAh,IP67,5.0,Android & iOS,Yes,Yes,Yes,100,No,Yes,Silicone,Green,49 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Metal,46x38x12 mm,"Smartwatch, Charging Cable, User Manual",11/2024,Flipkart
SW10092,Huami Amazfit GTS Max Music Control,Huami,5433,6335,14,902,4.7,5815,8143,"1.2""",TFT,390x435 pixels,19 days,576 mAh,IP67,5.0,Android,No,No,Yes,73,No,Yes,Polycarbonate,Blue,41 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber,49x35x11 mm,"Smartwatch, Charging Cable, User Manual",9/2024,Flipkart
SW10093,Realme Watch Ultra Water Resistance,Realme,6832,9774,30,2942,4.7,33238,14621,"1.4""",TFT,417x439 pixels,7 days,331 mAh,Water Resistant,5.0,Android,Yes,Yes,Yes,78,No,No,Nylon,Pink,40 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber,45x45x14 mm,"Smartwatch, Charging Cable, User Manual",7/2023,Flipkart
SW10094,Fitbit Inspire Plus AMOLED Display,Fitbit,11641,14511,19,2870,4.1,17726,3982,"1.8""",AMOLED,372x440 pixels,14 days,218 mAh,3ATM,5.2,Android & iOS,Yes,Yes,Yes,114,Yes,Yes,Metal,Brown,71 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber,45x37x13 mm,"Smartwatch, Charging Cable, User Manual",4/2022,Flipkart
SW10095,CrossBeats Elevate Max Female Health Tracking,CrossBeats,4582,6032,24,1450,4.5,19749,4430,"1.3""",TFT,321x357 pixels,20 days,357 mAh,5ATM,5.0,Android,Yes,Yes,Yes,55,No,No,Metal,Silver,66 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Metal,45x38x14 mm,"Smartwatch, Charging Cable, User Manual",10/2023,Flipkart
SW10096,Apple Watch Ultra Stress Monitoring,Apple,29269,50224,41,20955,4.7,19822,4373,"2.2""",AMOLED,421x385 pixels,4 days,530 mAh,5ATM,5.3,Android & iOS,Yes,Yes,Yes,176,Yes,Yes,TPU,Gold,57 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Fiber,45x41x12 mm,"Smartwatch, Charging Cable, User Manual",8/2023,Flipkart
SW10097,Boult Drift Pro Bluetooth Calling,Boult,1302,2290,43,988,4.8,30788,10688,"1.4""",TFT,426x361 pixels,7 days,359 mAh,IP68,5.0,Android & iOS,Yes,Yes,Yes,68,No,Yes,Polycarbonate,Silver,33 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Plastic,50x39x15 mm,"Smartwatch, Charging Cable, User Manual",3/2024,Flipkart
SW10098,Amazfit Bip 3 Sports Modes,Amazfit,7523,10247,26,2724,4.8,45105,14933,"1.2""",TFT,386x372 pixels,12 days,504 mAh,IP68,5.0,iOS,No,Yes,Yes,92,No,Yes,Polycarbonate,Red,67 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Plastic,45x42x14 mm,"Smartwatch, Charging Cable, User Manual",9/2023,Flipkart
SW10099,CrossBeats Ignite Pro SpO2 Monitor,CrossBeats,8148,13293,38,5145,4.7,6690,4702,"1.8""",AMOLED,409x343 pixels,8 days,225 mAh,5ATM,5.2,Android,Yes,Yes,Yes,94,No,No,Silicone,Brown,60 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Metal,50x44x14 mm,"Smartwatch, Charging Cable, User Manual",4/2023,Flipkart
SW10100,Garmin Instinct Pro Sleep Tracking,Garmin,21556,32088,32,10532,3.9,30782,320,"1.8""",AMOLED,396x366 pixels,4 days,319 mAh,IP67,5.3,Android,Yes,Yes,Yes,119,Yes,Yes,Leather,Silver,49 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Fiber,49x39x14 mm,"Smartwatch, Charging Cable, User Manual",12/2022,Flipkart
SW10101,boAt Flash Plus Camera Control,boAt,4400,6614,33,2214,4.5,43032,4585,"1.3""",LCD,436x430 pixels,14 days,321 mAh,IP68,5.0,Android & iOS,Yes,No,Yes,58,No,No,Metal,Brown,49 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber,45x45x13 mm,"Smartwatch, Charging Cable, User Manual",12/2024,Flipkart
SW10102,boAt Wave 3 Sleep Tracking,boAt,5246,9256,43,4010,3.8,19087,19421,"1.2""",LCD,377x422 pixels,7 days,491 mAh,IP68,5.0,Android & iOS,No,Yes,Yes,63,No,No,Nylon,Gold,53 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Plastic,42x45x14 mm,"Smartwatch, Charging Cable, User Manual",6/2023,Flipkart
SW10103,Samsung Galaxy Watch Pro Music Control,Samsung,22869,29216,21,6347,4.4,8322,5099,"1.8""",AMOLED,357x422 pixels,5 days,290 mAh,3ATM,5.3,Android,Yes,Yes,Yes,155,Yes,Yes,Polycarbonate,Black,33 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Metal,48x37x15 mm,"Smartwatch, Charging Cable, User Manual",10/2023,Flipkart
SW10104,Huami Amazfit GTS 4 Voice Assistant,Huami,9539,11858,19,2319,4.7,8971,5455,"1.6""",OLED,344x417 pixels,9 days,218 mAh,5ATM,5.2,Android,Yes,No,Yes,92,Yes,Yes,Polycarbonate,Pink,60 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber,42x37x11 mm,"Smartwatch, Charging Cable, User Manual",8/2023,Flipkart
SW10105,OnePlus Watch Max Weather Display,OnePlus,12037,19399,37,7362,3.8,6998,8616,"1.8""",OLED,415x438 pixels,12 days,398 mAh,Water Resistant,5.2,Android & iOS,Yes,Yes,Yes,119,No,Yes,Polycarbonate,Green,30 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Metal,46x41x13 mm,"Smartwatch, Charging Cable, User Manual",1/2022,Flipkart
SW10106,Huami Amazfit GTS Max Camera Control,Huami,3785,4957,23,1172,4.3,1791,6283,"1.4""",LCD,438x337 pixels,19 days,455 mAh,IP67,5.0,Android,Yes,Yes,Yes,91,No,Yes,Silicone,Silver,36 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Plastic,46x35x12 mm,"Smartwatch, Charging Cable, User Manual",4/2023,Flipkart
SW10107,Huami Amazfit Bip Ultra Bluetooth Calling,Huami,5732,10048,42,4316,3.9,44862,13514,"1.4""",LCD,386x341 pixels,16 days,405 mAh,5ATM,5.0,Android,Yes,No,Yes,79,No,No,Metal,Red,51 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber,47x43x10 mm,"Smartwatch, Charging Cable, User Manual",10/2024,Flipkart
SW10108,Huami Amazfit GTS Plus Sports Modes,Huami,9035,15689,42,6654,3.9,13161,7287,"1.8""",AMOLED,321x430 pixels,10 days,412 mAh,IP68,5.2,iOS,Yes,Yes,Yes,93,Yes,No,Leather,Red,34 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber,42x39x11 mm,"Smartwatch, Charging Cable, User Manual",12/2023,Flipkart
SW10109,Fitbit Charge Heart Rate Monitor,Fitbit,9862,17615,44,7753,4.5,16760,17695,"1.6""",OLED,370x413 pixels,8 days,344 mAh,Water Resistant,5.2,Android,Yes,Yes,Yes,80,Yes,Yes,Nylon,Silver,68 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Fiber,43x41x12 mm,"Smartwatch, Charging Cable, User Manual",3/2022,Flipkart
SW10110,Titan Juxt Ultra Notification Alerts,Titan,5470,8547,36,3077,4.1,39983,4058,"1.4""",TFT,386x403 pixels,20 days,394 mAh,IP68,5.0,Android & iOS,Yes,No,Yes,71,No,No,Silicone,Green,78 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Plastic,46x39x15 mm,"Smartwatch, Charging Cable, User Manual",6/2022,Flipkart
SW10111,CrossBeats Elevate Music Control,CrossBeats,3785,4874,22,1089,4.1,38954,5487,"1.4""",TFT,397x388 pixels,18 days,493 mAh,Water Resistant,5.0,iOS,No,No,Yes,67,No,Yes,TPU,Green,42 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Metal,45x37x15 mm,"Smartwatch, Charging Cable, User Manual",2/2024,Flipkart
SW10112,OnePlus Band 2 SpO2 Monitor,OnePlus,4078,5448,25,1370,4.0,13699,9837,"1.2""",TFT,424x333 pixels,12 days,291 mAh,3ATM,5.0,iOS,No,No,Yes,71,No,Yes,Metal,Silver,37 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,3 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Plastic,42x36x12 mm,"Smartwatch, Charging Cable, User Manual",10/2022,Flipkart
SW10113,Samsung Gear Sport Lite Water Resistance,Samsung,13641,21158,35,7517,4.6,3017,7614,"1.8""",OLED,424x422 pixels,9 days,236 mAh,IP68,5.2,iOS,Yes,Yes,Yes,106,Yes,Yes,Leather,Brown,78 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Plastic,47x44x13 mm,"Smartwatch, Charging Cable, User Manual",3/2022,Flipkart
SW10114,CrossBeats Ignite Stress Monitoring,CrossBeats,6131,10868,43,4737,4.4,36140,15083,"1.3""",TFT,445x409 pixels,12 days,291 mAh,Water Resistant,5.0,iOS,Yes,No,Yes,77,No,Yes,Silicone,Red,72 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Plastic,49x45x11 mm,"Smartwatch, Charging Cable, User Manual",9/2022,Flipkart
SW10115,Boult Drift 2 Voice Assistant,Boult,3014,4687,35,1673,3.9,8775,10823,"1.4""",TFT,446x411 pixels,17 days,331 mAh,Water Resistant,5.0,iOS,No,No,Yes,90,No,Yes,Metal,Purple,46 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber,41x35x15 mm,"Smartwatch, Charging Cable, User Manual",12/2022,Flipkart
SW10116,Realme TechLife Pro Stress Monitoring,Realme,2759,3927,29,1168,4.6,24288,1845,"1.3""",TFT,391x341 pixels,14 days,207 mAh,3ATM,5.0,Android,Yes,No,Yes,74,No,Yes,Nylon,Purple,41 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Plastic,42x35x15 mm,"Smartwatch, Charging Cable, User Manual",11/2022,Flipkart
